Yorum,Puan,Tarih,Durum
salla kazan bir işe yariyacak hediye vermiyor bugün yine salladım tane hattım var sınada fizy geldi ev ocak şarkı dinliyoruz benim işim olur fizyle sen bana internet yada dakika ver ikide bir bipten dakika verdik deme kiminin telefonu bipe uyumlu değil sende biliyorsun bunu ayrıca rahat tarifede gb internet tl para cokkkk,5,2026-01-22 17:50:00,1
iyi,5,2026-01-22 17:17:41,1
paketler pahalı ay fiyatlar artıyor,1,2026-01-22 16:07:01,0
iyi bir turkcell uygulaması,5,2026-01-22 13:42:14,1
türkcell faturalıya geçtim tam bir pişmanlıktır fazla internet yiyor hediye internetten hic yemiyor kullanamadan süresi bitiyor sürekli benim kendi paketimi harcıyor kesinlikle hediye interneti kullanmıyor resmen milleti yoluyorsunuz haram olsun size ben pişmanım sakın geçmeyin türkcele millet görsün yıldız verdim yoksaki yarım yıldız bile size,5,2026-01-22 13:02:06,1
yerde mobil ulaşım iyisadece beni arayanların anında görmek isterimtşk,5,2026-01-22 11:50:43,1
yeni gelen müşteriye gbı tlye satıp yıllık müşterisine gbı tlye dayatan rezil düzen açıkça dolandırıcılıktır sadakati cezalandıran eski müşteriyi enayi yerine koyan bir sistem kan emici sömürü düzenine ortak olmayın turkcell müşterisini korumuyor açık açık soyuyor zihniyet değişmezse kaybedeceği müşteri bile,1,2026-01-22 10:59:32,0
yaşındayım artık ömürboyu turkcell kullanıcam,5,2026-01-22 09:41:46,1
salla kazan kulandım gelmedi,1,2026-01-22 01:45:34,0
salla kazan baya bi fazla olurza sevinirimm,5,2026-01-22 00:02:37,1
türkseli seviyorum yıldır,5,2026-01-21 21:04:17,1
berbat ötesi seferinde gb yada puan çıkmasından bıktım gerçekten kötü duzeltmiyorlarda puan çıkıyor yada gb,1,2026-01-21 20:41:08,0
iyi,5,2026-01-21 20:36:53,1
paket aldım asla çalışmıyo şahsen ben yıldız verdim,1,2026-01-21 20:36:17,0
gerçekten mükemmel,5,2026-01-21 20:34:56,1
uygulama iyi sade,4,2026-01-21 20:22:59,1
süper,5,2026-01-21 20:21:26,1
süper,5,2026-01-21 20:18:56,1
rezil bir uygulama kampanya dahilinde otomatik ödeme talimatı veren müşterilere hediye internet kampanyasından faydalanmak talimat verdim hediye internetim tanımlanmadığı canlı desteğe bağlandım durumu anlattım bana dediler önce kampanyadan yararlandığınız kampanyadan yararlanamazsınız oysaki ben hattı yeni aldım turkcelle yeni geçtim şuan içinde geçtiğime pişmanım ev interneti başvuru yapmıştım onu iptal ediyorum hattımı kiriyorum,1,2026-01-21 20:18:22,0
iyi bir uygulama görmek istediğim konturumainternetime şeyime bakabiliyorum size tavsiye ediyorum,5,2026-01-21 20:15:04,1
hediye versin,5,2026-01-21 20:11:03,1
güzel günlük internet veriyor başka operatörler haftalık gb internet veriyor,5,2026-01-21 20:07:30,1
müko,5,2026-01-21 20:06:31,1
cok iyi,5,2026-01-21 20:06:04,1
teşekkürler turkcelle,5,2026-01-21 20:05:04,1
,5,2026-01-21 20:04:38,1
türk telokomdan iyi olduğu tartışmasız,5,2026-01-21 19:11:07,1
mükemmel başka diyebilirim şirin olsa iyi olur,5,2026-01-21 18:34:07,1
memnun kaldım,5,2026-01-21 18:10:20,1
memnunum,5,2026-01-21 16:51:45,1
salla kazandan gb degerinde puan veriyor paycellde öyle bir hediye yok başka hediye almak istediğimde kota koyulmuş vermiyor kurnazsiniz,1,2026-01-21 16:16:29,0
iyi bir uygulama sorunlarıma anında çözüm buluyırlar gerçekten teşekkür ederim turkcell,5,2026-01-21 16:02:36,1
uygulama güzel,5,2026-01-21 14:57:10,1
hala bilgilerim güncellenmiyor yaşım ten büyük görünüyor bi çözüm bulun şuna,2,2026-01-21 14:52:43,0
uygulamaya giriş yapabilmek sms gerek fakat defasında kere deneyip giriş yapmaktan vaz geçtiğim uygulama sms bakiyesi kalmamış operatör şirketi mi olur operatör sms gönderemiyor yaklaşık er ay arayla denedim sms gönderemeyen yegâne operatör uygulaması olmalı komik mi desem yakışır desem bilemedim,1,2026-01-21 11:12:44,0
abi son güncellemede bir hata var giriş yap diyo hersey yapıyorsun tekrar dene hata veriyor düzeltin bunu lütfen,5,2026-01-21 00:04:46,1
yeterince güzel çekiyor,5,2026-01-20 20:57:42,1
salla kazan geliştirilmeli ona rağmen yıldız verdim,5,2026-01-20 20:54:16,1
yildiz vermisim yıldız cekmiyor sene olmuş cekmiyor,1,2026-01-20 20:48:53,0
iyi müqqqqqqq,5,2026-01-20 20:47:18,1
şahanedir,5,2026-01-20 20:46:26,1
beğeniyorum severek kullanıyorum,5,2026-01-20 20:44:17,1
iyi uygulama tavsiye ederim,5,2026-01-20 20:41:08,1
iyi,5,2026-01-20 20:35:13,1
teşekkürler,5,2026-01-20 20:34:45,1
,5,2026-01-20 20:33:37,1
güzel harikalar harikası teşekkür ederim değerli turkcell sahipleri herşey bir numara sınız yetkili ana bayi babaları,5,2026-01-20 20:18:45,1
iyi,5,2026-01-20 20:17:53,1
memnunum,5,2026-01-20 20:13:20,1
memnunum,5,2026-01-20 20:12:49,1
teşekkürler,5,2026-01-20 20:03:29,1
güzel bi uygulama tavsiye ederim,5,2026-01-20 19:40:05,1
güzel uygulama,5,2026-01-20 19:21:15,1
süper,5,2026-01-20 18:05:10,1
turkcell indir,5,2026-01-20 17:06:20,1
güzel olmuş turkcell güzel,5,2026-01-20 16:46:11,1
cok memnunum türkselden,5,2026-01-20 16:05:53,1
yıldız verdim üstte görünsün gb ek paket tl olurmu sırf yüzden hattımı başka operatöre taşıyacam,5,2026-01-20 15:43:07,1
cokkk iyi uygulama bazen internet vermiyor,5,2026-01-20 12:40:35,1
yaşlılar uygun,5,2026-01-20 12:26:07,1
turkcel iyi,5,2026-01-20 09:57:34,1
memnunum,5,2026-01-20 08:36:20,1
değişen bir yok ayda bir zam tarifelere toprak doyurmaz bunları,1,2026-01-20 08:14:31,0
bi haftadır giriş yap a tıkla diyor tıklıyorum bişeyyok bi giremedikhayır güncelleme mi var dedik yok silip tekrar yükledim yine kimse yok,1,2026-01-20 03:00:20,0
paket satın almayınca çatlat kazan sala kazanda hediye internet verme oranı düşük kısaca vermiyor,1,2026-01-20 01:10:12,0
uygulama ismi farkli isa aslan görünüyor,1,2026-01-19 23:58:32,0
ben tuekcelli anlamıyorum faturam bitmeden faturamın üzerine ekleme yapılmış dolandırıcı dan farkı yok şikayetçi olacağım,1,2026-01-19 23:25:44,0
iyi,5,2026-01-19 22:00:32,1
cok iyi cekiyo,5,2026-01-19 20:55:47,1
hediyeleriniz biraz düşük mükemmel,5,2026-01-19 20:49:26,1
iyi beş yıldızı hak ediyor bir sıkıntı var biraz geç giriyor,5,2026-01-19 20:44:51,1
hersey guzel interteti cok zayif cekiyormerkezi yerdeyim,5,2026-01-19 20:36:09,1
güzel bir uygulama,5,2026-01-19 20:31:22,1
iyi,5,2026-01-19 20:21:52,1
sizinde kullanmanızı tavsiye ederim,5,2026-01-19 20:20:38,1
harikasınız,5,2026-01-19 20:19:08,1
cok ıyı,5,2026-01-19 20:18:07,1
iyi,5,2026-01-19 20:16:43,1
iyi,5,2026-01-19 20:13:09,1
mobil uygulamada fiber internet kampanyalar bölümü yok kampanya yenilemek istediğimde iletişim merkezine bağlanın ordan halledin bir saçmalıkla karşılaştım bilginize,1,2026-01-19 20:11:12,0
uygulama iyi güzel hızlı,4,2026-01-19 20:05:28,1
iyi,5,2026-01-19 20:02:27,1
iyi,5,2026-01-19 19:39:24,1
superbox aldım asla giriş yapıp durumu göremiyorum kadardır kaldı vs bilgiler asla hiçbiruerde yok app e giriş yapıyorum görüntülemiyor hata veriyor,1,2026-01-19 19:15:33,0
iyi güzel,5,2026-01-19 16:14:37,1
fatutalarım kısmına giremiyorum rezalet,1,2026-01-19 15:10:39,0
yeni gelene lira yıldan fazla müsteriniz olana lira hak,1,2026-01-19 11:40:40,0
turkcell hâlâ şaşırtmıyor salak saçma milletin faturasının mesajı bana geliyor lan kalbim durdu görünce bir sistemsiniz,1,2026-01-19 11:29:57,0
hediye vermiyor fazla hediye istiyorum,2,2026-01-19 09:36:21,0
ugulamadan memnunum,1,2026-01-19 02:08:58,0
son aydır cekim sinyalinde nette girişlerde sorun var kadar kötü net olmaz cekmiyor turktelekom iyi,1,2026-01-18 23:38:22,0
güzel,5,2026-01-18 22:11:29,1
iyi,5,2026-01-18 20:43:38,1
güzel,5,2026-01-18 20:39:30,1
iyi,5,2026-01-18 20:38:45,1
güzel,5,2026-01-18 20:38:10,1
cok iyi,5,2026-01-18 20:37:55,1
güzel bir uygulama kullanıyorum,5,2026-01-18 20:31:12,1
kafam kadar guzel,5,2026-01-18 20:29:10,1
isteklere hızlı ulaşım,5,2026-01-18 20:25:42,1
bence iyi hat güzel özelliği çarşamba salla kazandan hediyeler vermesi bide özel günlerde ramaza nın ilk günü bayramlar vb veriyo bence güzel paketlere sahip,5,2026-01-18 20:24:33,1
güzel bir uygulama üzerinden veriyorum,5,2026-01-18 20:24:12,1
güzel,5,2026-01-18 20:14:53,1
güzel beğeniyorum,5,2026-01-18 20:10:32,1
turkcell turkcell başka söze gerek yok,5,2026-01-18 20:02:42,1
muazzamn bir uygulamalar,5,2026-01-18 18:38:18,1
muhteşem uygulama,5,2026-01-18 18:02:15,1
çekmiyor yavaş,2,2026-01-18 17:08:21,0
büyük ada nizam mh telefonomuz cekmiyor,4,2026-01-18 13:36:10,1
kadar kötü bir sistemle ilk karşılaşıyorum hattı öncesi başka kullanıyor yasal sürece girmiş senedir hattı kullanıyorum durumu düzeltmiyorlar numaramın değişmesini istiyorum benim hakkım düzeltmedikleri mağdur oldum operatörümü değiştireceğim,1,2026-01-18 13:32:03,0
şanlıurfa eyyübiye yediyol turkcell şebekesi yok,2,2026-01-18 12:41:42,0
iyi,5,2026-01-18 12:38:39,1
oldu mobil uygulamasını silip yüklemem oğlum taşıdığım mobil hattını türkcell uygulamasına bir türlü ekleyemedim müşteri hizmetleri facia konuşursak ölürüz sanıyorlar sesleri gelmiyor yok ben oraya bakmıyorum yanlış bağlanmışsınız silin tekrar yükleyin alo al maaşı bla bla bla allah affetsin,1,2026-01-18 11:59:27,0
son güncelleme uygulama mahvedilmiş,1,2026-01-18 02:58:20,0
turkcell hattımız malatya pötürgeye bağlı uzuntaş kayadere köylerinde tarihinden beri tamamen çekmiyor yaklaşık gündür arama yapabiliyoruz internet kullanabiliyoruz acil bir durumda ailemizden yakınlarımızdan haber alamayacak duruma geldik müşteri hizmetlerini aradığımda talep oluşturmak bölgeden başvuru yapılması gerektiği söylendi ancak zaten köylerde şebeke olmadığı böyle bir başvurunun yapılması fiilen mümkün değil nedenle hiçbir yetkili konuy,1,2026-01-18 01:49:18,0
çekmeyen bı turcell,1,2026-01-18 01:47:21,0
güzel,5,2026-01-17 22:52:24,1
güzel bir uygulama sadece biraz interneti kastırıyor lütfen hatayı düzeltin,5,2026-01-17 21:03:28,1
mükemmel,5,2026-01-17 20:58:31,1
doğru bilgiler,5,2026-01-17 20:56:51,1
güzel bir uygulama,5,2026-01-17 20:55:29,1
adımla güzel,5,2026-01-17 20:51:47,1
özellikle salla kazan tumbara özelliği iyi olmuş salla kazanda seferinde internet veriyo tumbara dadaş biriken internet dakika sms puan olarak orada birikiyo istediğimizde puan verip internet alabiliyoruz türkcel ailede birbirimize internet atmakta iyi salla kazanı başka türkcel kullanan birine ücretsiz gönderebiliyorsun,5,2026-01-17 20:40:51,1
harika bir uygulama,5,2026-01-17 20:32:01,1
,5,2026-01-17 20:31:46,1
güzel,5,2026-01-17 20:31:32,1
internet ucuz,5,2026-01-17 20:27:27,1
iyi güzel,5,2026-01-17 20:27:02,1
güzel,5,2026-01-17 20:21:58,1
kötü allah haftalık gb ver lütfen verirsen yıldız veririm zaten yıldız verdimde yineden benim haftalık gb yap lütfen anneannemdeyim internetin yok kuzenim internetiyşe hava atıyo gerçketwn mutlu musunuz turkcell kullanan birini eziklemelerini eziklememelri bana lütfen haftalık gb hediye ediiiiinnn,5,2026-01-17 20:15:14,1
senin kadar güzel çeken internet kolay arayüzlü bir uyg görmedim,5,2026-01-17 20:07:06,1
,5,2026-01-17 20:03:48,1
süper,5,2026-01-17 20:01:54,1
memnunum herkese tavsiye ederim,5,2026-01-17 20:01:16,1
arayüzü kullanışsız,1,2026-01-17 19:38:06,0
bişey kullanmadan telsiz ücretsi geliyor,1,2026-01-17 18:38:59,0
senden tamtama gb istiyorum lütfen iyisiniz iyisiniz inşallah iyi olursanız salla kazanları bazenleri gün gün yaparsanız güzel olur,5,2026-01-17 18:21:50,1
benim internetim yok turksel bana internet nadiren veriyor bana int lazım,1,2026-01-17 14:19:31,0
iyi,5,2026-01-17 14:10:57,1
harika,5,2026-01-17 14:04:19,1
turkcell e teşekkür ediyorum hanfendi iyi çalışmalar kolay gelsin gülüm,5,2026-01-17 14:02:34,1
guncelleme derken guncelle me demek istemis,5,2026-01-17 13:34:38,1
güzel uygulama,4,2026-01-17 09:58:10,1
on numara beş yıldız,5,2026-01-17 08:56:41,1
salla kazan yaptigim internet deilde benim normal internetimden gidiyor,1,2026-01-17 01:42:58,0
kesinlikle ev intenetini tavsiye etmiyorum almayın kullanmayım çöp resmen mblık dosyayı bile dakikada indiriyor paranıza yazık bende taahhüt bitince çıkacam video donduğu girip mesaj atmak istedim sakin olaki kullanöayin süperonline pişmanlıktır kesinlikle ev intenetini tavsiye etmiyorum almayın kullanmayım çöp resmen mblık dosyayı bile dakikada indiriyor paranıza yazık bende taahhüt bitince çıkacam video donduğu girip mesaj atmak istedim sakin olaki kullanöayin süperonline pişmm,5,2026-01-17 01:07:53,1
teşekkürler,5,2026-01-17 00:02:32,1
yukarda herkes görsün beş yıldızı verdim birinci sorum kadar pahalı gb dakika satıyorsunuz salla kazanda gb üstünde hediye görmedim insanları soymaya gelince soyuyorsunuz vermeye gelince yok ikincisi uygulama üstünden diğer numaramı tanımlamak istiyorum bir türlü sms şifre gelmiyor saatlerce onumu bekleyeceğiz gelsin lakin beklesende gelen giden yok utanın dünyanın pahalısısiniz kalite sıfır,5,2026-01-16 23:46:33,1
pasaj bölümü iyi değil aşağı kaydırırken sayfa zıplayarak tekrar başa dönüyor,1,2026-01-16 22:20:39,0
mobil internet kotu evin interneti kilometreden iyi çeker aw,1,2026-01-16 22:01:00,0
iste kalite iste hizmet,5,2026-01-16 20:59:27,1
iyi,5,2026-01-16 20:49:58,1
mükemmel bir iletişim,5,2026-01-16 20:43:34,1
müthiş,5,2026-01-16 20:42:45,1
sürekli internet sorunu yaşıyorum lütfen durumu düzeltin artık,1,2026-01-16 20:42:24,0
yıllardır kullanırım hizmet mükemmel,5,2026-01-16 20:40:26,1
iyi,5,2026-01-16 20:36:38,1
güzel memnunum,5,2026-01-16 20:35:32,1
iyi cekiyo dahada fazla kaliteli,5,2026-01-16 20:33:39,1
hizmet mükemmel teşekkürler,5,2026-01-16 20:32:27,1
güzel olmuş teşekkürler,5,2026-01-16 20:23:40,1
harika,5,2026-01-16 20:23:38,1
olması gereken iyi şeyler var evet biliyoruz diğer operatör olmayan bir var çözüm odağı etkili iletişim umarım kalitesini arttırarak ilerleriz,5,2026-01-16 20:23:34,1
deneyimli,5,2026-01-16 20:21:55,1
arkadaş yeni hat alıyım dedim hat geldi hattı aktif etmek uygulamayı indirdim aktivasyon gündür mesaj gelmiyor ilgilenen yok nerdende aldım turkcell pişmanlık ben iyisi vodafondan devam hat geldi hattı acamıyoruz,1,2026-01-16 20:14:58,0
güzel bir uygulama,5,2026-01-16 20:13:20,1
süper,5,2026-01-16 20:12:08,1
memnu num,5,2026-01-16 20:10:56,1
harika otesi,5,2026-01-16 20:08:23,1
güzel değil bence turkcell olmayın tarifeleri pahalı,1,2026-01-16 17:39:43,0
kötü,1,2026-01-16 16:54:11,0
malesef indiremedim,4,2026-01-16 16:43:16,1
memnunum,5,2026-01-16 16:27:51,1
baya iyi bir uygulama sadece sala kazan a gb artasa iyi olur yinede iyi,5,2026-01-16 14:40:00,1
salakazanda çokiyiinternetveriyo,5,2026-01-16 14:10:52,1
türkiyenin iyi operatörü,5,2026-01-16 11:27:09,1
iyice eğlence ettiler uygulamayı hafta aynı salla kazan yapıyoruz saatlik gb tiktok saatlik gb youtube veriyor eski haftalık gb lardan eser yok hediye internet işi tamamen bitti,1,2026-01-16 08:14:12,0
hicde hızlı bir internetleri yok internetleri yavaş internet hızlı bitiyor kimseye tavsiye etmiyorum sorunu düzeltin lütfen,1,2026-01-15 22:14:56,0
iyi hat,5,2026-01-15 21:52:19,1
hattınız pahalı yıllık kullanıcıyımmaalesef hattımı değiştiriyorum utanın biraz,1,2026-01-15 21:48:42,0
